year,foreign_residents_millions,japan_population_millions,pct_foreign
1990,1.05,0.008536585366,123.0000
1995,1.33,125.0,0.0106
2000,1.65,126.0,0.0131
2005,1.98,127.0,0.0156
2010,2.16,128.0,0.0169
2015,2.58,127.0,0.0203
2020,3.29,126.0,0.0261
2025,3.5,122.0,0.0287
2030,4.165,116.0,0.0359
2035,7.0,112.0,0.0625
2040,11.0,106.0,0.1038
2045,13.0,103.0,0.1262
2050,15.0,99.0,0.1515
